projection_id,block_id,projection_name,hf_module_path,sensitivity_rank,sensitivity_mean,sensitivity_std,digital_nll,digital_ppl,reference_nll,reference_ppl,noisy_nll_mean,noisy_ppl_mean,delta_nll_total_mean,delta_nll_programming_mean,delta_ppl_preprocessing,reference_sigma_normalized,measured_noise_std_absolute,measured_noise_rms_absolute,noise_reference_scale,num_calibration_seeds
block_0/attn.c_attn,block_0,attn.c_attn,transformer.h.0.attn.c_attn,34,0.11981992250334841,0.021241618788765605,3.3675948881333873,29.00867398320851,3.371544902897223,29.12348527759574,3.3717166011906015,29.12849390571186,0.004121713057214027,0.00017169829337841945,0.11481129438723059,1.0,0.014772259630262852,0.014772266708314418,0.014772259630262852,5
block_0/attn.c_proj,block_0,attn.c_proj,transformer.h.0.attn.c_proj,1,11.350339747763249,1.2290048670284572,3.3675948881333873,29.00867398320851,3.7248328834451656,41.464302794360556,3.697353858674299,40.35901373097176,0.32975897054091163,-0.027479024770866722,12.455628811152046,1.0,0.008652560971677303,0.008652574382722378,0.008652560971677303,5
block_0/mlp.c_fc,block_0,mlp.c_fc,transformer.h.0.mlp.c_fc,27,0.2156455889038142,0.02072140678547348,3.3675948881333873,29.00867398320851,3.37477709230129,29.217770189382676,3.375000973328895,29.224319572112325,0.0074060851955073835,0.00022388102760455552,0.20909620617416635,1.0,0.01037383209913969,0.010373835265636445,0.01037383209913969,5
block_0/mlp.c_proj,block_0,mlp.c_proj,transformer.h.0.mlp.c_proj,2,4.496658314707527,0.1565836809423975,3.3675948881333873,29.00867398320851,3.505737352542125,33.30599305923169,3.5116936593072814,33.50533229791604,0.14409877117389422,0.005956306765156327,4.297319076023179,1.0,0.0064656417816877365,0.006465642899274826,0.0064656417816877365,5
block_1/attn.c_attn,block_1,attn.c_attn,transformer.h.1.attn.c_attn,44,0.05735656252573022,0.009332676484155323,3.3675948881333873,29.00867398320851,3.3694840323540474,29.063527348658372,3.3695701055629277,29.066030545734243,0.00197521742954061,8.60732088804994e-05,0.05485336544986197,1.0,0.010136655531823635,0.01013665683567524,0.010136655531823635,5
block_1/attn.c_proj,block_1,attn.c_proj,transformer.h.1.attn.c_proj,20,0.3935577137229167,0.01298089139647131,3.3675948881333873,29.00867398320851,3.3806057711228674,29.38856846830384,3.3810704820899553,29.402231696931427,0.013475593956568055,0.00046471096708788906,0.3798944850953312,1.0,0.0071658680215477945,0.0071658755652606486,0.0071658680215477945,5
block_1/mlp.c_fc,block_1,mlp.c_fc,transformer.h.1.mlp.c_fc,7,1.290026538938735,0.09043304982600832,3.3675948881333873,29.00867398320851,3.4103505286691864,30.27585495476075,3.4111003713368513,30.298700522147243,0.043505483203464215,0.000749842667665046,1.2671809715522393,1.0,0.009772618673741818,0.009772618860006332,0.009772618673741818,5
block_1/mlp.c_proj,block_1,mlp.c_proj,transformer.h.1.mlp.c_proj,9,1.2110609606543832,0.01988350730494876,3.3675948881333873,29.00867398320851,3.4091661164410225,30.240017089526663,3.4084949695081264,30.219734943862893,0.04090008137473937,-0.0006711469328958941,1.2313431063181532,1.0,0.006434262450784445,0.006434262450784445,0.006434262450784445,5
block_2/attn.c_attn,block_2,attn.c_attn,transformer.h.2.attn.c_attn,5,1.7787354935574413,0.03901448679251703,3.3675948881333873,29.00867398320851,3.4261598014489723,30.75829769062868,3.4271050200240163,30.787409476765948,0.05951013189062868,0.0009452185750436825,1.7496237074201701,1.0,0.011323796957731247,0.01132380086928606,0.011323796957731247,5
block_2/attn.c_proj,block_2,attn.c_proj,transformer.h.2.attn.c_proj,33,0.14741466404128117,0.0229575637001591,3.3675948881333873,29.00867398320851,3.3723108922281573,29.1458021027318,3.3726634541720046,29.156088647249796,0.005068566038617206,0.00035256194384718497,0.13712811952328963,1.0,0.006037063710391521,0.0060370716266334055,0.006037063710391521,5
block_2/mlp.c_fc,block_2,mlp.c_fc,transformer.h.2.mlp.c_fc,4,2.481946720853802,0.10601930704845938,3.3675948881333873,29.00867398320851,3.4477286757534125,31.428925896341795,3.449684091280865,31.490620704062316,0.08208920314747817,0.0019554155274529527,2.420251913133285,1.0,0.010043977573513985,0.010044060461223126,0.010043977573513985,5
block_2/mlp.c_proj,block_2,mlp.c_proj,transformer.h.2.mlp.c_proj,6,1.524258107683115,0.01701414613927615,3.3675948881333873,29.00867398320851,3.418577563378119,30.52596287690184,3.418805686547338,30.532932090891627,0.051210798413950265,0.0002281231692187191,1.5172888936933298,1.0,0.006914085429161787,0.006914086453616619,0.006914085429161787,5
block_3/attn.c_attn,block_3,attn.c_attn,transformer.h.3.attn.c_attn,16,0.6515651177712506,0.03155222989599298,3.3675948881333873,29.00867398320851,3.3889289560283813,29.6341957403831,3.3898068316948455,29.660239100979766,0.02221194356145837,0.0008778756664643339,0.6255217571745888,1.0,0.010757835209369659,0.010757839307188988,0.010757835209369659,5
block_3/attn.c_proj,block_3,attn.c_proj,transformer.h.3.attn.c_proj,40,0.08788964415991174,0.02099121202101971,3.3675948881333873,29.00867398320851,3.3708826418845885,29.10420431396431,3.3706198184720932,29.09656362736842,0.0030249303387059,-0.0002628234124953721,0.09553033075579975,1.0,0.006303778849542141,0.006303783506155014,0.006303778849542141,5
block_3/mlp.c_fc,block_3,mlp.c_fc,transformer.h.3.mlp.c_fc,29,0.163841799681272,0.02345236421197594,3.3675948881333873,29.00867398320851,3.371935987985262,29.13487726587271,3.373226702597833,29.172515782889782,0.0056318144644461835,0.0012907146125712642,0.1262032826641999,1.0,0.009850644506514072,0.009850779920816422,0.009850644506514072,5
block_3/mlp.c_proj,block_3,mlp.c_proj,transformer.h.3.mlp.c_proj,12,0.9666221786910064,0.014037242618061737,3.3675948881333873,29.00867398320851,3.4001551947713327,29.968750679919648,3.400373471509598,29.975296161899518,0.03277858337621113,0.00021827673826573245,0.9600766967111376,1.0,0.00682805422693491,0.006828055717051029,0.00682805422693491,5
block_4/attn.c_attn,block_4,attn.c_attn,transformer.h.4.attn.c_attn,15,0.738783729916662,0.03462837876033933,3.3675948881333873,29.00867398320851,3.391979379038657,29.72473058754826,3.392742995634728,29.747457713125176,0.025148107501341155,0.0007636165960714259,0.7160566043397516,1.0,0.0109432777389884,0.010943279042840004,0.0109432777389884,5
block_4/attn.c_proj,block_4,attn.c_proj,transformer.h.4.attn.c_proj,46,0.03443619924909243,0.021024619353812807,3.3675948881333873,29.00867398320851,3.368501226534553,29.034977576584183,3.3687810222735117,29.043110182457603,0.0011861341401242953,0.000279795738958466,0.026303593375672563,1.0,0.006943394616246224,0.006943403277546167,0.006943394616246224,5
block_4/mlp.c_fc,block_4,mlp.c_fc,transformer.h.4.mlp.c_fc,19,0.5316511568749547,0.017213760427799457,3.3675948881333873,29.00867398320851,3.383485996594993,29.47333618826807,3.3857561140504786,29.54032514008346,0.018161225917091704,0.0022701174554859093,0.464662205059561,1.0,0.0098404161632061,0.009840461798012257,0.0098404161632061,5
block_4/mlp.c_proj,block_4,mlp.c_proj,transformer.h.4.mlp.c_proj,22,0.34283692270215055,0.01990385407008198,3.3675948881333873,29.00867398320851,3.378551672009157,29.328263393364256,3.379343793896364,29.351510905910665,0.011748905762976759,0.0007921218872069425,0.3195894101557464,1.0,0.0068198048509657385,0.006819806061685085,0.0068198048509657385,5
block_5/attn.c_attn,block_5,attn.c_attn,transformer.h.5.attn.c_attn,8,1.2303912313897905,0.0807722916900335,3.3675948881333873,29.00867398320851,3.4100608594955935,30.26708624295025,3.409131074378995,30.239065214598305,0.04153618624560744,-0.000929785116598758,1.258412259741739,1.0,0.009717804193496705,0.009717806428670882,0.009717804193496705,5
block_5/attn.c_proj,block_5,attn.c_proj,transformer.h.5.attn.c_proj,41,0.07990336355947818,0.020730390251492616,3.3675948881333873,29.00867398320851,3.3696655748565565,29.068804093107193,3.370345312207403,29.088577346767988,0.0027504240740158893,0.0006797373508466542,0.06013010989868306,1.0,0.007076995074748993,0.007077004574239254,0.007076995074748993,5
block_5/mlp.c_fc,block_5,mlp.c_fc,transformer.h.5.mlp.c_fc,25,0.2549498171737106,0.03761907688672584,3.3675948881333873,29.00867398320851,3.373492428051528,29.180259264193783,3.3763444097238624,29.26362380038222,0.008749521590475772,0.002851981672334869,0.1715852809852727,1.0,0.009628836065530777,0.009628888964653016,0.009628836065530777,5
block_5/mlp.c_proj,block_5,mlp.c_proj,transformer.h.5.mlp.c_proj,31,0.15960571719351932,0.023837247909697698,3.3675948881333873,29.00867398320851,3.372432909558751,29.149358612675897,3.3730814732103793,29.16827970040203,0.00548658507699189,0.0006485636516282867,0.1406846294673869,1.0,0.007331057079136371,0.0073310589417815205,0.007331057079136371,5
block_6/attn.c_attn,block_6,attn.c_attn,transformer.h.6.attn.c_attn,10,1.1965366107972308,0.044058174428750166,3.3675948881333873,29.00867398320851,3.404424112757474,30.09695827787887,3.4080133814110978,30.20521059400574,0.04041849327771052,0.003589268653623634,1.088284294670359,1.0,0.009632491134107113,0.009632494300603867,0.009632491134107113,5
block_6/attn.c_proj,block_6,attn.c_proj,transformer.h.6.attn.c_proj,47,0.029443109048297344,0.01018521849014108,3.3675948881333873,29.00867398320851,3.3683821966998466,29.031521753679634,3.368609287918255,29.038117092256805,0.0010143997848675924,0.00022709121840822633,0.02284777047112385,1.0,0.008554872497916222,0.008554882369935513,0.008554872497916222,5
block_6/mlp.c_fc,block_6,mlp.c_fc,transformer.h.6.mlp.c_fc,26,0.2475665036184715,0.05040671702511303,3.3675948881333873,29.00867398320851,3.3752056996882174,29.230295825613744,3.3760914177022956,29.256240486826982,0.008496529568908163,0.0008857180140780408,0.2216218424052343,1.0,0.009615085273981094,0.009615124575793743,0.009615085273981094,5
block_6/mlp.c_proj,block_6,mlp.c_proj,transformer.h.6.mlp.c_proj,38,0.09084959797005539,0.04027440249210987,3.3675948881333873,29.00867398320851,3.3705308702256946,29.093968080246015,3.370720844542254,29.099523581178566,0.0031259564088665925,0.00018997431655920494,0.08529409703750446,1.0,0.008088116347789765,0.008088117465376854,0.008088116347789765,5
block_7/attn.c_attn,block_7,attn.c_attn,transformer.h.7.attn.c_attn,17,0.6175429872970554,0.026118961773357922,3.3675948881333873,29.00867398320851,3.386151318054473,29.551996885148107,3.3886592892335736,29.626216970505567,0.021064401100186193,0.002507971179100554,0.5433229019395966,1.0,0.009808230213820934,0.009808231517672539,0.009808230213820934,5
block_7/attn.c_proj,block_7,attn.c_proj,transformer.h.7.attn.c_proj,36,0.0946680744878968,0.011094793946503518,3.3675948881333873,29.00867398320851,3.370182571445315,29.083836451166707,3.3708529422787357,29.10334205769641,0.0032580541453483213,0.0006703708334207193,0.07516246795819725,1.0,0.00855337642133236,0.008553385548293591,0.00855337642133236,5
block_7/mlp.c_fc,block_7,mlp.c_fc,transformer.h.7.mlp.c_fc,43,0.0731622336502518,0.03540368391959978,3.3675948881333873,29.00867398320851,3.370473382293537,29.092295576257676,3.3701130526894736,29.08183621685876,0.002518164556086511,-0.0003603296040631143,0.08362159304916617,1.0,0.009651329182088376,0.009651384502649307,0.009651329182088376,5
block_7/mlp.c_proj,block_7,mlp.c_proj,transformer.h.7.mlp.c_proj,39,0.08945925648257073,0.013970095017469913,3.3675948881333873,29.00867398320851,3.3698288249285846,29.073549964840574,3.370673907016768,29.098133239691084,0.003079018883380513,0.0008450820881831689,0.06487598163206343,1.0,0.008973798528313637,0.008973801322281361,0.008973798528313637,5
block_8/attn.c_attn,block_8,attn.c_attn,transformer.h.8.attn.c_attn,14,0.7767204595862246,0.049369497094978794,3.3675948881333873,29.00867398320851,3.3925990161075386,29.74315484006824,3.3940167821863647,29.785394442794733,0.026421894052977367,0.001417766078826066,0.7344808568597294,1.0,0.009681014902889728,0.009681015647947789,0.009681014902889728,5
block_8/attn.c_proj,block_8,attn.c_proj,transformer.h.8.attn.c_proj,45,0.053937009896517195,0.013291034267840465,3.3675948881333873,29.00867398320851,3.368831719976172,29.0445750321115,3.369452397883152,29.06261099310503,0.0018575097497647518,0.0006206779069798607,0.035901048902989174,1.0,0.009224926121532917,0.00922493040561676,0.009224926121532917,5
block_8/mlp.c_fc,block_8,mlp.c_fc,transformer.h.8.mlp.c_fc,24,0.2743882276450158,0.018988037454089227,3.3675948881333873,29.00867398320851,3.376176511087725,29.258686708878983,3.3770090569732014,29.28306221085353,0.009414168839813808,0.000832545885475966,0.25001272567047295,1.0,0.00972411185503006,0.00972412470728159,0.00972411185503006,5
block_8/mlp.c_proj,block_8,mlp.c_proj,transformer.h.8.mlp.c_proj,28,0.17251371885778255,0.018487239645999753,3.3675948881333873,29.00867398320851,3.372820589277479,29.16066141861672,3.3735240442351198,29.18118770206629,0.005929156101732858,0.0007034549576409255,0.15198743540820914,1.0,0.01023431234061718,0.010234314016997814,0.01023431234061718,5
block_9/attn.c_attn,block_9,attn.c_attn,transformer.h.9.attn.c_attn,13,0.8566982067036847,0.0595837545650891,3.3675948881333873,29.00867398320851,3.3942548980849616,29.79244679368544,3.3966977015191078,29.865372189912193,0.02910281338572096,0.002442803434146601,0.783772810476929,1.0,0.009631692804396153,0.009631693363189697,0.009631692804396153,5
block_9/attn.c_proj,block_9,attn.c_proj,transformer.h.9.attn.c_proj,42,0.07932276241515837,0.0046755338418483314,3.3675948881333873,29.00867398320851,3.3699134780514624,29.07601123581391,3.3703255931963634,29.087996745623673,0.002730705062975858,0.00041211514490075986,0.06733725260539813,1.0,0.010293492302298545,0.010293509811162949,0.010293492302298545,5
block_9/mlp.c_fc,block_9,mlp.c_fc,transformer.h.9.mlp.c_fc,35,0.09996776778339864,0.01799609738561098,3.3675948881333873,29.00867398320851,3.36983832834442,29.0738262641886,3.3710349064146747,29.10864175099191,0.0034400182812873935,0.0011965780702544392,0.06515228098009018,1.0,0.00976079422980547,0.009760829620063305,0.00976079422980547,5
block_9/mlp.c_proj,block_9,mlp.c_proj,transformer.h.9.mlp.c_proj,37,0.09405108743310323,0.02451581273779737,3.3675948881333873,29.00867398320851,3.3699501628944097,29.077077904284792,3.370831459995666,29.10272507064162,0.003236571862279014,0.0008812971012565285,0.0684039210762819,1.0,0.011784389801323413,0.011784392036497593,0.011784389801323413,5
block_10/attn.c_attn,block_10,attn.c_attn,transformer.h.10.attn.c_attn,21,0.34922918322590063,0.02985320333788506,3.3675948881333873,29.00867398320851,3.3785398972077183,29.32791806091937,3.379561266335108,29.357903166434408,0.011966378201720662,0.0010213691273896152,0.3192440777108594,1.0,0.009659247659146785,0.009659250825643539,0.009659247659146785,5
block_10/attn.c_proj,block_10,attn.c_proj,transformer.h.10.attn.c_proj,32,0.1523851956705819,0.022965833376490396,3.3675948881333873,29.00867398320851,3.3721496819595282,29.14110387885655,3.3728339191833276,29.16105917887909,0.005239031049940568,0.0006842372237995775,0.1324298956480412,1.0,0.010964458622038365,0.010964475199580192,0.010964458622038365,5
block_10/mlp.c_fc,block_10,mlp.c_fc,transformer.h.10.mlp.c_fc,30,0.16039026530300332,0.007935646115657054,3.3675948881333873,29.00867398320851,3.3726762093096223,29.156451507179167,3.3731086671138746,29.16906424851151,0.005513778980487683,0.0004324578042526284,0.1477775239706567,1.0,0.00976098645478487,0.009761030972003936,0.00976098645478487,5
block_10/mlp.c_proj,block_10,mlp.c_proj,transformer.h.10.mlp.c_proj,23,0.2773485940542365,0.012254341539027986,3.3675948881333873,29.00867398320851,3.3764670920628372,29.267189961975305,3.37711026950549,29.28602257726275,0.00951538137210326,0.0006431774426532755,0.2585159787667948,1.0,0.013442375883460044,0.013442379608750343,0.013442375883460044,5
block_11/attn.c_attn,block_11,attn.c_attn,transformer.h.11.attn.c_attn,18,0.6174618228869562,0.03611704814817592,3.3675948881333873,29.00867398320851,3.3889922548793123,29.636071610291307,3.388656195090236,29.626135806095466,0.021061306956848647,-0.0003360597890764261,0.6273976270827966,1.0,0.009762942604720593,0.009762945398688317,0.009762942604720593,5
block_11/attn.c_proj,block_11,attn.c_proj,transformer.h.11.attn.c_proj,3,2.932298648175034,0.05151371570677386,3.3675948881333873,29.00867398320851,3.4646064072954186,31.963876548340675,3.4638882930988055,31.940972631383545,0.09629340496541801,-0.0007181141966133176,2.955202565132165,1.0,0.012766159325838088,0.012766171805560588,0.012766159325838088,5
block_11/mlp.c_fc,block_11,mlp.c_fc,transformer.h.11.mlp.c_fc,48,-0.04357328966926133,0.019003701302764686,3.3675948881333873,29.00867398320851,3.365490354517455,28.94768844921946,3.3660914656936485,28.96510069353925,-0.001503422439739044,0.0006011111761933918,-0.06098553398905082,1.0,0.00991056878119707,0.009910594299435615,0.00991056878119707,5
block_11/mlp.c_proj,block_11,mlp.c_proj,transformer.h.11.mlp.c_proj,11,1.022026127167355,0.017134084260512716,3.3675948881333873,29.00867398320851,3.4017724213207066,30.01725615076655,3.4022200326338465,30.030700110375864,0.03462514450045919,0.000447611313139884,1.008582167558039,1.0,0.014830136485397816,0.014830139465630054,0.014830136485397816,5
