tile_id,thermal_zone,initial_fidelity_class,base_noise_std,drift_rate,fault_onset_timestep,fault_noise_increase_fraction,initial_noise_std,final_noise_std,mean_noise_std,max_noise_std,initial_fidelity_score,final_fidelity_score,final_dynamic_fidelity_class,final_available,final_faulted
0,0,medium,0.020733866440854627,0.13316148043412193,,0.0,0.020733866440854627,0.023452152953612696,0.021833297291921294,0.024534149873471217,0.5516776949690908,0.490267186999495,medium,True,False
1,0,medium,0.024319852136509838,0.0583228347723785,,0.0,0.024319852136509838,0.02568820982945021,0.024699400521834173,0.027462065281225256,0.4721295382898735,0.44495505425083975,medium,True,False
2,0,medium,0.02375831394032335,0.1487981638489038,,0.0,0.02375831394032335,0.027244617930713644,0.025203869301663007,0.028381424307385474,0.4837865294747307,0.4161195735914827,medium,True,False
3,0,medium,0.02394376074168114,0.11597224246655707,,0.0,0.02394376074168114,0.026671301258270275,0.025007611459537622,0.028034940771681286,0.4799040503443784,0.42648966463150084,medium,True,False
4,0,medium,0.024291353542701052,0.07890483777320939,,0.0,0.024291353542701052,0.026158072472350073,0.024920439519757896,0.027791203600893422,0.472714010408753,0.4360208421388385,medium,True,False
5,0,medium,0.022811012567476363,0.07068059354451033,,0.0,0.022811012567476363,0.024376368317497975,0.02330795970536636,0.02596199914963874,0.5041253010066505,0.4709727089237069,medium,True,False
6,0,low,0.035132419002766625,0.1675289144355424,,0.0,0.035132419002766625,0.0409458200578792,0.03759905085959628,0.04244437722653041,0.30000790597632726,0.23984836357949604,low,True,False
7,0,medium,0.021343066191387226,0.08411859370737723,,0.0,0.021343066191387226,0.023094495465122714,0.021951437587035667,0.02449855191438328,0.5373141441377256,0.49794997066267954,medium,True,False
8,0,medium,0.021226838338265476,0.23502402367535946,,0.0,0.021226838338265476,0.026171975026666607,0.02343351931130284,0.026840832718479524,0.5400280941673976,0.4357595392507421,medium,True,False
9,1,medium,0.023774653624236173,0.166212227940079,,0.0,0.023774653624236173,0.029123523987519963,0.02568363430243308,0.029341807525375314,0.4834431438698867,0.3841183684428034,low,True,False
10,1,low,0.03423408509651682,0.11937396090696742,,0.0,0.03423408509651682,0.040332674598140564,0.03618117095618697,0.04079520936479056,0.3109985460523919,0.24539312216667433,low,True,False
11,1,low,0.03510017217962694,0.16818309829628336,,0.0,0.03510017217962694,0.04306625883884448,0.03795312186870415,0.043382131389744026,0.30039373378293543,0.22192365306844072,low,True,False
12,1,medium,0.024218994744113716,0.0545607742059395,60,0.471063469445143,0.024218994744113716,0.038372431603910954,0.030515952556305837,0.038844752322129604,0.4742014227995188,0.2643092338593685,low,True,True
13,1,high,0.0162996303400034,0.24171184264828907,,0.0,0.0162996303400034,0.021197370434938474,0.01822371354323589,0.02124917326829761,0.6656784682634314,0.5407181665239909,medium,True,False
14,1,high,0.015833081553783476,0.14646068738858006,,0.0,0.015833081553783476,0.019082512982411155,0.016948031541525358,0.019256789734212586,0.6784778489101013,0.5922908353785904,high,True,False
15,1,medium,0.023272352939428902,0.20654704545005725,,0.0,0.023272352939428902,0.029446900772651143,0.025610344547039848,0.029582757379890676,0.49411433637553526,0.37890726672379277,low,True,False
16,1,medium,0.022098170451088018,0.06654599998448772,,0.0,0.022098170451088018,0.0248674208959791,0.02277131762817365,0.02527389905679459,0.5199890385638551,0.46104692851991996,medium,True,False
17,1,high,0.012827202548765654,0.14733166616763207,,0.0,0.012827202548765654,0.015470908112383943,0.013736067612110438,0.015611066043557484,0.7627565717218217,0.6884892171391497,high,True,False
18,2,medium,0.022708899990468868,0.1481413988709042,,0.0,0.022708899990468868,0.025700522217365813,0.023739656602948446,0.02646039441831392,0.5063683047166601,0.44471837742243964,medium,True,False
19,2,low,0.03187417898993967,0.23756529099499657,,0.0,0.03187417898993967,0.03892352873897026,0.034746104043451694,0.039575468229227195,0.34240295850188823,0.25880105968471373,low,True,False
20,2,low,0.03365846352226665,0.1643456104752151,,0.0,0.03365846352226665,0.03863796684551903,0.03545892508339052,0.03968172824812708,0.3183118680057765,0.2616360685452421,low,True,False
21,2,low,0.03775130827406713,0.14469788021139077,,0.0,0.03775130827406713,0.042594588067714406,0.03939984089410995,0.04387746417880809,0.27070437142913195,0.22575011349486393,low,True,False
22,2,low,0.03205224326996114,0.10339513261837872,,0.0,0.03205224326996114,0.03484051947395513,0.032789984980891126,0.03612997384445547,0.3398986462481778,0.30352377959359683,low,True,False
23,2,high,0.01298524076471213,0.11631379946851045,,0.0,0.01298524076471213,0.014282599747395272,0.013367996117661762,0.014779618743027549,0.7582963087838459,0.7216989092573958,high,True,False
24,2,high,0.014267957379126481,0.15413448049430756,,0.0,0.014267957379126481,0.016233096797113947,0.01495833425616534,0.016697588872970456,0.7221107507513144,0.6674965734216909,high,True,False
25,2,medium,0.022050531285726746,0.13778229206100934,71,0.20557451508328062,0.022050531285726746,0.029260024886124274,0.02478817878653781,0.030032418631162575,0.5210662812847531,0.38190835677936247,low,True,True
26,2,medium,0.023744815967743717,0.05432241597606609,,0.0,0.023744815967743717,0.024645193080981113,0.023708735548537432,0.025776693724790908,0.4840703850185026,0.4655110263630407,medium,True,False
27,3,high,0.01585293487596235,0.21525838483887158,,0.0,0.01585293487596235,0.018974514845157782,0.017680655718894798,0.019523602315944646,0.6779308754574204,0.595029057330187,high,True,False
28,3,medium,0.024305931761889502,0.22923215436795336,,0.0,0.024305931761889502,0.029431625405905187,0.027278040545710116,0.03023924369412595,0.4724149334847449,0.37915151901084965,low,True,False
29,3,low,0.03601168457101197,0.07804981779972216,,0.0,0.03601168457101197,0.038161585046209895,0.037692997601862246,0.040605829480357965,0.289729432452753,0.2664575875235805,low,True,False
30,3,low,0.03363875912524865,0.1608072287078099,,0.0,0.03363875912524865,0.038430852371194896,0.036601213351411574,0.039918650093571414,0.31856605712144004,0.26371802147977064,low,True,False
31,3,medium,0.02444449376946376,0.07171514822708872,,0.0,0.02444449376946376,0.02574898422938393,0.025508334060811162,0.027474664792016885,0.4695822231233727,0.4437881529456955,medium,True,False
32,3,low,0.03143615086315088,0.18444801860796234,,0.0,0.03143615086315088,0.03665764149889855,0.03457621638566168,0.037844144215749595,0.3486613425352553,0.28246737092103963,low,True,False
33,3,medium,0.02080447553641576,0.10624675676780167,,0.0,0.02080447553641576,0.02263312693191982,0.022069105865807945,0.023877596163334635,0.549995413630949,0.5080391018816407,medium,True,False
34,3,medium,0.021114220159567952,0.18188452693838036,,0.0,0.021114220159567952,0.024567129716067133,0.023196195032636566,0.025373832050420476,0.5426696905311823,0.46709007705783856,medium,True,False
35,3,medium,0.02402285301274367,0.19539892285737653,,0.0,0.02402285301274367,0.028276079578336197,0.026553961792715276,0.02915625202501755,0.4782580340736562,0.39818245851153444,low,True,False
36,4,low,0.03414927051831276,0.2037294983835314,,0.0,0.03414927051831276,0.03823587142149112,0.037649794211818605,0.04052683816247474,0.3120626041219149,0.2656980506628231,low,True,False
37,4,high,0.013577312729443212,0.07154818919117932,,0.0,0.013577312729443212,0.013407425954045616,0.014071742645238722,0.015509702567547051,0.7415782980001431,0.746374927473836,high,True,False
38,4,high,0.015531007456844341,0.2332023690275216,,0.0,0.015531007456844341,0.01784732725512593,0.017351909039569794,0.01861423393413014,0.6868237156794333,0.6241688391404697,high,True,False
39,4,medium,0.021400635672480576,0.09604279817897617,,0.0,0.021400635672480576,0.021657059397186984,0.022442058951077825,0.024622681008114405,0.5359745254531711,0.5300451314706118,medium,True,False
40,4,medium,0.023903073725357587,0.057482511235235956,,0.0,0.023903073725357587,0.02326777243408382,0.0246054189407497,0.027192063835548584,0.48075309373278247,0.4942127435281183,medium,True,False
41,4,high,0.015215398584550677,0.16097049387829668,53,0.2918624119995421,0.015215398584550677,0.020826414120069994,0.01892922716022292,0.02202104527660103,0.6955873622653987,0.549473649110537,medium,True,True
42,4,medium,0.02245269764004382,0.12418445677248775,,0.0,0.02245269764004382,0.023353583387040588,0.02386124568967631,0.026045528358163657,0.5120393958335371,0.49237248150267,medium,True,False
43,4,high,0.014383694512600291,0.21595794862648265,,0.0,0.014383694512600291,0.01628086371089943,0.015946062470230397,0.017129052857492187,0.7188567855584034,0.6661910363457391,high,True,False
44,4,medium,0.02359929992834689,0.21165029441286037,,0.0,0.02359929992834689,0.026610324160145495,0.026111845220258185,0.02806943345590776,0.48714142009033207,0.4276097332738701,medium,True,False
45,5,medium,0.022364338008545596,0.11342777856454307,,0.0,0.022364338008545596,0.025003979550737104,0.0234037222787454,0.02558124735867846,0.5140096215176816,0.4583265130510583,medium,True,False
46,5,high,0.01315398703606758,0.240579879013949,,0.0,0.01315398703606758,0.016379096694783116,0.014601598101124524,0.016620241412409996,0.7535318690975813,0.6635102405539175,high,True,False
47,5,low,0.030985654299508742,0.10818356762802372,,0.0,0.030985654299508742,0.03448036629577434,0.032344467231157505,0.03528972588043513,0.35524556655952627,0.3079348835619245,low,True,False
48,5,low,0.03874945851385553,0.15301142584634292,,0.0,0.03874945851385553,0.04485686514193621,0.041317264925734655,0.045766839154741,0.2605243290334495,0.20817441912388268,low,True,False
49,5,low,0.03825894235450998,0.10119301811352055,,0.0,0.03825894235450998,0.04230651993389195,0.039802985044952284,0.043321593571458115,0.26546274443266044,0.22813114677741592,low,True,False
50,5,high,0.016673316019411813,0.23720871400979268,57,0.4025319726482532,0.016673316019411813,0.027416633091264297,0.02200368891049632,0.02772560208921573,0.6555146831905874,0.4130644653585201,medium,True,True
51,5,medium,0.02192300182271379,0.08292156351640363,79,0.25272888711460845,0.02192300182271379,0.02938234091945206,0.024500511139904348,0.029987557426630715,0.5239605428260459,0.3799408585031953,low,True,True
52,5,low,0.03881642267159906,0.0589821238784658,,0.0,0.03881642267159906,0.041284502572422006,0.03956372602613356,0.04257636594905461,0.2598596001936768,0.23685752452221023,low,True,False
53,5,high,0.01712781769780332,0.1370194120006076,,0.0,0.01712781769780332,0.019553470925382076,0.018125870895928868,0.01997180477299158,0.643268913846033,0.5804650626463419,medium,True,False
54,6,low,0.036495389740262764,0.2484751128111674,,0.0,0.036495389740262764,0.04982430566354304,0.04162298028355355,0.05001917579162704,0.28426899362923025,0.17566221963776116,low,True,False
55,6,medium,0.022767062909861427,0.2283354532509828,,0.0,0.022767062909861427,0.030623572199821016,0.025736567492252515,0.030748991917114762,0.505089491031803,0.3606482514332668,low,True,False
56,6,medium,0.021952311184487733,0.19972160389138985,,0.0,0.021952311184487733,0.028899523990710312,0.024501477759527126,0.029025733873497866,0.5232940196237927,0.38777803195973354,low,True,False
57,6,medium,0.021143398425906096,0.228158498175705,,0.0,0.021143398425906096,0.028435868491184294,0.02389925797864985,0.02855237516900549,0.5419841533954391,0.39548485871389194,low,True,False
58,6,medium,0.024851971024101673,0.22868932793957264,,0.0,0.024851971024101673,0.03343673958022784,0.02809780709921278,0.03357357078384192,0.46135579880965,0.32118700931125366,low,True,False
59,6,medium,0.02279657093323461,0.1537716720772898,,0.0,0.02279657093323461,0.02896346439171028,0.024920024979376742,0.029103330684710355,0.5044419276102706,0.38672918844568693,low,True,False
60,6,high,0.013813589347572576,0.1131858103661586,,0.0,0.013813589347572576,0.016989783956925412,0.014819978783122694,0.017079247211764903,0.7349107976143626,0.64697390700391,high,True,False
61,6,medium,0.022107400471093004,0.2044024864221976,,0.0,0.022107400471093004,0.029207176280437574,0.024726317539990363,0.029333408216391924,0.5197805711374486,0.38276220046384696,low,True,False
62,6,medium,0.02336441001713272,0.18233225263355224,60,0.24873300185141245,0.02336441001713272,0.03616371538949535,0.02878015759201523,0.036301458035293624,0.4921407927536747,0.2879986272415001,low,True,True
63,7,medium,0.021513154801520468,0.12473154577474202,,0.0,0.021513154801520468,0.025803891185798695,0.022454080812700943,0.025891018953875702,0.5333651513296755,0.4427368063214308,medium,True,False
64,7,high,0.01757553213353116,0.06889333361230306,,0.0,0.01757553213353116,0.020099534794993913,0.017853544251628654,0.020195456115299822,0.6313407604000876,0.5669934977754576,medium,True,False
65,7,medium,0.024189189837241967,0.1993579222698052,,0.0,0.024189189837241967,0.030818805242677,0.02614973402854129,0.030871262866125636,0.474815522172231,0.3577227784673323,low,True,False
66,7,high,0.016786911996717887,0.10249210318457294,,0.0,0.016786911996717887,0.0197616813836817,0.017334459410013502,0.019839079700334755,0.6524416991090122,0.5752976220266693,medium,True,False
67,7,high,0.015134534978706846,0.23736263010675585,,0.0,0.015134534978706846,0.019857693208821248,0.016648787307631304,0.019876014127103766,0.697839330716276,0.5729275097274891,medium,True,False
68,7,low,0.03567124133446248,0.09819411500113695,,0.0,0.03567124133446248,0.04183914395286817,0.03675809142319042,0.04200747608434687,0.2936543800343956,0.23206701416432785,low,True,False
69,7,medium,0.023386850656998588,0.0745515864822972,,0.0,0.023386850656998588,0.026877739036103736,0.023822951346216262,0.027002040552796633,0.49166091795536476,0.42272220362247925,medium,True,False
70,7,low,0.03587858873430434,0.21622253442498124,,0.0,0.03587858873430434,0.04631703684295527,0.03908910295208787,0.04637959047476267,0.2912557540982805,0.19781114660272042,low,True,False
71,7,high,0.013135554846554364,0.08065686332489881,,0.0,0.013135554846554364,0.015176457787784698,0.01342059505492325,0.015244251736609973,0.7540523531141724,0.6966715041404993,high,True,False
