module_name,projection_id,block_id,projection_name,execution_index,out_features,in_features,num_weights,group_total_weights,module_weight_fraction,sensitivity_score,module_importance
decoder_stack.layers.0.ffn1,block_0/mlp.c_fc,block_0,mlp.c_fc,2,3072,768,2359296,2359296,1.0,0.18868362312787923,0.18868362312787923
decoder_stack.layers.0.ffn2,block_0/mlp.c_proj,block_0,mlp.c_proj,3,768,3072,2359296,2359296,1.0,4.3899671176778625,4.3899671176778625
decoder_stack.layers.0.k_proj_in,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,3538944,0.16666666666666666,0.1470328324688417,0.024505472078140283
decoder_stack.layers.0.k_proj_out,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,3538944,0.16666666666666666,0.1470328324688417,0.024505472078140283
decoder_stack.layers.0.out_proj,block_0/attn.c_proj,block_0,attn.c_proj,1,768,768,589824,589824,1.0,13.285155910503299,13.285155910503299
decoder_stack.layers.0.pos_embedding,embedding/pos_embedding,embedding,pos_embedding,-99,768,12,9216,9216,1.0,0.0,0.0
decoder_stack.layers.0.q_proj_in,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,3538944,0.16666666666666666,0.1470328324688417,0.024505472078140283
decoder_stack.layers.0.q_proj_out,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,3538944,0.16666666666666666,0.1470328324688417,0.024505472078140283
decoder_stack.layers.0.token_embedding,embedding/token_embedding,embedding,token_embedding,-100,768,50257,38597376,38597376,1.0,0.0,0.0
decoder_stack.layers.0.v_proj_in,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,3538944,0.16666666666666666,0.1470328324688417,0.024505472078140283
decoder_stack.layers.0.v_proj_out,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,3538944,0.16666666666666666,0.1470328324688417,0.024505472078140283
decoder_stack.layers.1.ffn1,block_1/mlp.c_fc,block_1,mlp.c_fc,102,3072,768,2359296,2359296,1.0,1.3606978023251592,1.3606978023251592
decoder_stack.layers.1.ffn2,block_1/mlp.c_proj,block_1,mlp.c_proj,103,768,3072,2359296,2359296,1.0,1.1873178097813302,1.1873178097813302
decoder_stack.layers.1.k_proj_out,block_1/attn.c_attn,block_1,attn.c_attn,100,768,768,589824,1769472,0.3333333333333333,0.042801665961178514,0.014267221987059505
decoder_stack.layers.1.out_proj,block_1/attn.c_proj,block_1,attn.c_proj,101,768,768,589824,589824,1.0,0.3860324129354282,0.3860324129354282
decoder_stack.layers.1.q_proj_out,block_1/attn.c_attn,block_1,attn.c_attn,100,768,768,589824,1769472,0.3333333333333333,0.042801665961178514,0.014267221987059505
decoder_stack.layers.1.v_proj_out,block_1/attn.c_attn,block_1,attn.c_attn,100,768,768,589824,1769472,0.3333333333333333,0.042801665961178514,0.014267221987059505
decoder_stack.layers.10.ffn1,block_10/mlp.c_fc,block_10,mlp.c_fc,1002,3072,768,2359296,2359296,1.0,0.17025076709852627,0.17025076709852627
decoder_stack.layers.10.ffn2,block_10/mlp.c_proj,block_10,mlp.c_proj,1003,768,3072,2359296,2359296,1.0,0.2595205051088385,0.2595205051088385
decoder_stack.layers.10.k_proj_out,block_10/attn.c_attn,block_10,attn.c_attn,1000,768,768,589824,1769472,0.3333333333333333,0.3328436843976377,0.11094789479921256
decoder_stack.layers.10.out_proj,block_10/attn.c_proj,block_10,attn.c_proj,1001,768,768,589824,589824,1.0,0.16221053991670686,0.16221053991670686
decoder_stack.layers.10.q_proj_out,block_10/attn.c_attn,block_10,attn.c_attn,1000,768,768,589824,1769472,0.3333333333333333,0.3328436843976377,0.11094789479921256
decoder_stack.layers.10.v_proj_out,block_10/attn.c_attn,block_10,attn.c_attn,1000,768,768,589824,1769472,0.3333333333333333,0.3328436843976377,0.11094789479921256
decoder_stack.layers.11.ffn1,block_11/mlp.c_fc,block_11,mlp.c_fc,1102,3072,768,2359296,2359296,1.0,-0.03262063810065641,-0.03262063810065641
decoder_stack.layers.11.ffn2,block_11/mlp.c_proj,block_11,mlp.c_proj,1103,768,3072,2359296,2359296,1.0,1.0386402986309164,1.0386402986309164
decoder_stack.layers.11.out_proj,block_11/attn.c_proj,block_11,attn.c_proj,1101,768,768,589824,589824,1.0,2.9907660444839586,2.9907660444839586
decoder_stack.layers.2.ffn1,block_2/mlp.c_fc,block_2,mlp.c_fc,202,3072,768,2359296,2359296,1.0,2.4982405822042146,2.4982405822042146
decoder_stack.layers.2.ffn2,block_2/mlp.c_proj,block_2,mlp.c_proj,203,768,3072,2359296,2359296,1.0,1.5019711524168855,1.5019711524168855
decoder_stack.layers.2.k_proj_out,block_2/attn.c_attn,block_2,attn.c_attn,200,768,768,589824,1769472,0.3333333333333333,1.749598448115151,0.5831994827050503
decoder_stack.layers.2.out_proj,block_2/attn.c_proj,block_2,attn.c_proj,201,768,768,589824,589824,1.0,0.129913811998005,0.129913811998005
decoder_stack.layers.2.q_proj_out,block_2/attn.c_attn,block_2,attn.c_attn,200,768,768,589824,1769472,0.3333333333333333,1.749598448115151,0.5831994827050503
decoder_stack.layers.2.v_proj_out,block_2/attn.c_attn,block_2,attn.c_attn,200,768,768,589824,1769472,0.3333333333333333,1.749598448115151,0.5831994827050503
decoder_stack.layers.3.ffn1,block_3/mlp.c_fc,block_3,mlp.c_fc,302,3072,768,2359296,2359296,1.0,0.1609913922319386,0.1609913922319386
decoder_stack.layers.3.ffn2,block_3/mlp.c_proj,block_3,mlp.c_proj,303,768,3072,2359296,2359296,1.0,0.9712403801132439,0.9712403801132439
decoder_stack.layers.3.k_proj_out,block_3/attn.c_attn,block_3,attn.c_attn,300,768,768,589824,1769472,0.3333333333333333,0.6684927184054459,0.22283090613514864
decoder_stack.layers.3.out_proj,block_3/attn.c_proj,block_3,attn.c_proj,301,768,768,589824,589824,1.0,0.05171752407894914,0.05171752407894914
decoder_stack.layers.3.q_proj_out,block_3/attn.c_attn,block_3,attn.c_attn,300,768,768,589824,1769472,0.3333333333333333,0.6684927184054459,0.22283090613514864
decoder_stack.layers.3.v_proj_out,block_3/attn.c_attn,block_3,attn.c_attn,300,768,768,589824,1769472,0.3333333333333333,0.6684927184054459,0.22283090613514864
decoder_stack.layers.4.ffn1,block_4/mlp.c_fc,block_4,mlp.c_fc,402,3072,768,2359296,2359296,1.0,0.5357155624444587,0.5357155624444587
decoder_stack.layers.4.ffn2,block_4/mlp.c_proj,block_4,mlp.c_proj,403,768,3072,2359296,2359296,1.0,0.322522356031115,0.322522356031115
decoder_stack.layers.4.k_proj_out,block_4/attn.c_attn,block_4,attn.c_attn,400,768,768,589824,1769472,0.3333333333333333,0.6852828656723489,0.22842762189078294
decoder_stack.layers.4.out_proj,block_4/attn.c_proj,block_4,attn.c_proj,401,768,768,589824,589824,1.0,0.026711526214111103,0.026711526214111103
decoder_stack.layers.4.q_proj_out,block_4/attn.c_attn,block_4,attn.c_attn,400,768,768,589824,1769472,0.3333333333333333,0.6852828656723489,0.22842762189078294
decoder_stack.layers.4.v_proj_out,block_4/attn.c_attn,block_4,attn.c_attn,400,768,768,589824,1769472,0.3333333333333333,0.6852828656723489,0.22842762189078294
decoder_stack.layers.5.ffn1,block_5/mlp.c_fc,block_5,mlp.c_fc,502,3072,768,2359296,2359296,1.0,0.2692129138279604,0.2692129138279604
decoder_stack.layers.5.ffn2,block_5/mlp.c_proj,block_5,mlp.c_proj,503,768,3072,2359296,2359296,1.0,0.1934659797456213,0.1934659797456213
decoder_stack.layers.5.k_proj_out,block_5/attn.c_attn,block_5,attn.c_attn,500,768,768,589824,1769472,0.3333333333333333,1.2090414778454353,0.4030138259484784
decoder_stack.layers.5.out_proj,block_5/attn.c_proj,block_5,attn.c_proj,501,768,768,589824,589824,1.0,0.05323980579969856,0.05323980579969856
decoder_stack.layers.5.q_proj_out,block_5/attn.c_attn,block_5,attn.c_attn,500,768,768,589824,1769472,0.3333333333333333,1.2090414778454353,0.4030138259484784
decoder_stack.layers.5.v_proj_out,block_5/attn.c_attn,block_5,attn.c_attn,500,768,768,589824,1769472,0.3333333333333333,1.2090414778454353,0.4030138259484784
decoder_stack.layers.6.ffn1,block_6/mlp.c_fc,block_6,mlp.c_fc,602,3072,768,2359296,2359296,1.0,0.19557187434356393,0.19557187434356393
decoder_stack.layers.6.ffn2,block_6/mlp.c_proj,block_6,mlp.c_proj,603,768,3072,2359296,2359296,1.0,0.11119142546245087,0.11119142546245087
decoder_stack.layers.6.k_proj_out,block_6/attn.c_attn,block_6,attn.c_attn,600,768,768,589824,1769472,0.3333333333333333,1.1219652936151157,0.37398843120503855
decoder_stack.layers.6.out_proj,block_6/attn.c_proj,block_6,attn.c_proj,601,768,768,589824,589824,1.0,0.017368967146847325,0.017368967146847325
decoder_stack.layers.6.q_proj_out,block_6/attn.c_attn,block_6,attn.c_attn,600,768,768,589824,1769472,0.3333333333333333,1.1219652936151157,0.37398843120503855
decoder_stack.layers.6.v_proj_out,block_6/attn.c_attn,block_6,attn.c_attn,600,768,768,589824,1769472,0.3333333333333333,1.1219652936151157,0.37398843120503855
decoder_stack.layers.7.ffn1,block_7/mlp.c_fc,block_7,mlp.c_fc,702,3072,768,2359296,2359296,1.0,0.00739201178233273,0.00739201178233273
decoder_stack.layers.7.ffn2,block_7/mlp.c_proj,block_7,mlp.c_proj,703,768,3072,2359296,2359296,1.0,0.10560601040788953,0.10560601040788953
decoder_stack.layers.7.k_proj_out,block_7/attn.c_attn,block_7,attn.c_attn,700,768,768,589824,1769472,0.3333333333333333,0.625468045423375,0.20848934847445832
decoder_stack.layers.7.out_proj,block_7/attn.c_proj,block_7,attn.c_proj,701,768,768,589824,589824,1.0,0.08695588151821099,0.08695588151821099
decoder_stack.layers.7.q_proj_out,block_7/attn.c_attn,block_7,attn.c_attn,700,768,768,589824,1769472,0.3333333333333333,0.625468045423375,0.20848934847445832
decoder_stack.layers.7.v_proj_out,block_7/attn.c_attn,block_7,attn.c_attn,700,768,768,589824,1769472,0.3333333333333333,0.625468045423375,0.20848934847445832
decoder_stack.layers.8.ffn1,block_8/mlp.c_fc,block_8,mlp.c_fc,802,3072,768,2359296,2359296,1.0,0.2876500794163057,0.2876500794163057
decoder_stack.layers.8.ffn2,block_8/mlp.c_proj,block_8,mlp.c_proj,803,768,3072,2359296,2359296,1.0,0.15092492703541893,0.15092492703541893
decoder_stack.layers.8.k_proj_out,block_8/attn.c_attn,block_8,attn.c_attn,800,768,768,589824,1769472,0.3333333333333333,0.77381273434235,0.25793757811411666
decoder_stack.layers.8.out_proj,block_8/attn.c_proj,block_8,attn.c_proj,801,768,768,589824,589824,1.0,0.07070078650862754,0.07070078650862754
decoder_stack.layers.8.q_proj_out,block_8/attn.c_attn,block_8,attn.c_attn,800,768,768,589824,1769472,0.3333333333333333,0.77381273434235,0.25793757811411666
decoder_stack.layers.8.v_proj_out,block_8/attn.c_attn,block_8,attn.c_attn,800,768,768,589824,1769472,0.3333333333333333,0.77381273434235,0.25793757811411666
decoder_stack.layers.9.ffn1,block_9/mlp.c_fc,block_9,mlp.c_fc,902,3072,768,2359296,2359296,1.0,0.0803488122760605,0.0803488122760605
decoder_stack.layers.9.ffn2,block_9/mlp.c_proj,block_9,mlp.c_proj,903,768,3072,2359296,2359296,1.0,0.06655004163389933,0.06655004163389933
decoder_stack.layers.9.k_proj_out,block_9/attn.c_attn,block_9,attn.c_attn,900,768,768,589824,1769472,0.3333333333333333,0.8331305661021311,0.27771018870071035
decoder_stack.layers.9.out_proj,block_9/attn.c_proj,block_9,attn.c_proj,901,768,768,589824,589824,1.0,0.07972838972702334,0.07972838972702334
decoder_stack.layers.9.q_proj_out,block_9/attn.c_attn,block_9,attn.c_attn,900,768,768,589824,1769472,0.3333333333333333,0.8331305661021311,0.27771018870071035
decoder_stack.layers.9.v_proj_out,block_9/attn.c_attn,block_9,attn.c_attn,900,768,768,589824,1769472,0.3333333333333333,0.8331305661021311,0.27771018870071035
lm_head,head/lm_head,head,lm_head,1000004,50257,768,38597376,38597376,1.0,0.0,0.0
